FBGN_BAIT	FBGN_INTERACTOR	OVERALL_SAINT_PROB	BAITS_TOTAL	SAMPLES	TOTAL_SPECTRALCOUNT	AVE_SPECTRALCOUNT_TOTNORM	AVE_SPECTRALCOUNT_BAITNORM	CONDITIONS_ISOLATED	SAINT_TIME_0	SAINT_TIME_I10	SAINT_TIME_S10	DYNAMICS_PROB_I10_OVER_0	DYNAMICS_PROB_S10_OVER_0	DYNAMICS_PROB_I10_OVER_S10	DYNAMIC_CONDITION	CONTROL_SAMPLES	CONTROL_TOTAL_SPECTRALCOUNT	AVE_SPECTRALCOUNT_TOTNORM_CONT	INTERACTION_DETECT_METHODS	REFERENCE	DATE1	DATA_VERSION	SYMBOL_BAIT	SYMBOL_INTERACTOR	DATE_LAST_UPDATED	INTERACTION_TYPE	PUBMEDURL
FBgn0015402	FBgn0037912	0.982312628	4	3	5	0.002436723	0.030189482	BI	0.96	0		0.96	0.96	0					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	ksr	sea	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0283499	FBgn0250814	0.969047099	12	3	6	0.003157007	0.019315853	BI	0	0.94		0.94	0	0.94		2	8	0.003281829	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	InR	UQCR-C2	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0010269	FBgn0038476	0.946937884	4	3	6	0.001641111	0.051811254	BI	0	0.88		0.88	0	0.88		1	3	0.002439024	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Dsor1	kuk	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0010269	FBgn0010342	0.920406826	10	2	7	0.0028472	0.173160173	I		0.83		0.83	0	0.83		2	4	0.002758176	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Dsor1	Map60	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003079	FBgn0004237	0.97	13	3	9	0.004619861	0.068548206	BIS	0	0	0.98	0	0.98	0.98		4	8	0.00531416	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Raf	Hrb87F	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003731	FBgn0021906	0.976593045	6	2	2	0.001971931	0.012626263	B	0.95			0.95	0.95	0					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Egfr	RFeSP	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0010269	FBgn0003885	0.83550744	15	4	112	0.023930865	0.424819956	BI	0.43	0.37		0.4818	0.43	0.37		7	42	0.011132308	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Dsor1	alphaTub84D	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0001965	FBgn0030136	0.929250512	14	5	11	0.005667063	0.091231318	BI	0.37	0.76		0.5676	0.37	0.76		5	10	0.008550842	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Sos	RpS28b	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0010269	FBgn0015402	0.999690471	2	4	25	0.005379092	0.111662293	BI	0.98	0.94		0.0776	0.98	0.94	S10 and I10/S10				MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Dsor1	ksr	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0000382	FBgn0001942	0.96	9	4	9	0.004754413	0.048065356	BIS	0	0	0.97	0	0.97	0.97		1	5	0.004065041	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	csw	eIF4A	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003079	FBgn0037328	0.96	8	1	5	0.004071661	0.063291139	S			0.96	0	0.96	0.96		1	3	0.003836317	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Raf	RpL35A	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004390	FBgn0035872	0.973468942	7	2	4	0.003791432	0.117647059	I		0.95		0.95	0	0.95		1	1	0.0008726	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	RasGAP1	CG7185	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004638	FBgn0003392	0.9977	2	5	47	0.014484234	0.084185211	BIS	1	0	0.76	1	0.24	0.76					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	drk	shi	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004390	FBgn0261461	0.986734471	11	2	5	0.003753754	0.129411765	B	0.96			0.96	0.96	0		1	2	0.002557545	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	RasGAP1	RhoGAP18B	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0286070	FBgn0027066	0.982312628	1	3	6	0.005410684	0.029367666	BI	0.95	0		0.95	0.95	0					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	cnk	Eb1	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0016794	FBgn0039229	0.93	10	3	12	0.004554729	0.078240161	IS		0.93	0	0.93	0	0.93	I10 and I10/S10	3	5	0.004219149	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	dos	Saf-B	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0016794	FBgn0036624	0.87	4	3	7	0.002600932	0.04701189	IS		0.86	0	0.86	0	0.86		1	6	0.005235602	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	dos	RAF2	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0015402	FBgn0027598	0.95578157	14	4	18	0.007218533	0.091359125	BI	0.91	0		0.91	0.91	0	I10 and S10	3	11	0.004094976	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	ksr	cindr	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003256	FBgn0004107	0.98	1	3	3	0.006817144	0.023275887	IS		0	0.97	0	0.97	0.97					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	rl	Cdk2	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003256	FBgn0037063	0.99	2	1	2	0.020618557	0.08	S			0.98	0	0.98	0.98					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	rl	CG9391	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0264959	FBgn0033926	0.97	12	4	5	0.003955735	0.009678135	BS	0		0.96	0	0.96	0.96		1	1	0.002898551	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Src42A	Arc1	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004638	FBgn0003731	1	8	4	57	0.018726535	0.129150936	BIS	0	0	1	0	1	1	S10 and I10/S10				MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	drk	Egfr	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004638	FBgn0032006	1	5	6	166	0.035948603	0.235925435	BIS	1	1	1	0	0	0					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	drk	Pvr	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
