FBGN_GENE1_BD	FBGN_GENE2_AD	GENE1_INTERACTIONS_AS_BD	GENE1_INTERACTIONS_TOTAL	GENE2_INTERACTIONS_AS_AD	GENE2_INTERACTIONS_TOTAL	SCREEN	REFERENCE	DATE1	IST	ISTS_RFCS	DATA_VERSION	PMID	URL_PUBMED	DATE_LAST_UPDATED	PUBMEDURL	SYMBOL_BD	SYMBOL_AD	PBSSCORE	INTERACTION_TYPE	INTERACTION_DETECT_METHODS
FBgn0014388	FBgn0002526	37	37	4	4	embryo	Formstecher et al (2005)	10-Sep-04	Yes	3	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	sty	LanA	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0014388	FBgn0261800	37	37	2	2	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	sty	LanB1	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0014388	FBgn0267348	37	37	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	sty	LanB2	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0014388	FBgn0003137	37	37	3	3	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	sty	Ppn	B	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0014388	FBgn0003285	37	37	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	sty	rst	A	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0014388	FBgn0003475	37	37	2	2	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	sty	spir	C	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0011661	FBgn0032409	56	59	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Moe	Ced-12	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013750	FBgn0039110	20	20	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Arf51F	RanBP3	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013750	FBgn0039241	20	20	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Arf51F	CG11089	B	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013750	FBgn0266719	20	20	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Arf51F	stac	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013750	FBgn0050043	20	20	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Arf51F	CG30043	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0086384	FBgn0000053	111	112	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Mer	Gart	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0086384	FBgn0000581	111	112	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Mer	E(Pc)	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0086384	FBgn0002780	111	112	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	3	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Mer	mod	A	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0086384	FBgn0002783	111	112	2	2	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Mer	mor	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0086384	FBgn0002921	111	112	2	2	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Mer	Atpalpha	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0086384	FBgn0003145	111	112	6	6	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Mer	prd	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0086384	FBgn0003345	111	112	8	8	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Mer	sd	E	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
